Lemma	PoS	Freq(ipm)	rnc_num_senses	wiktionary_num_senses	ruwordnet_num_senses	Mean
город	s	573.4	2	1	1	1
данные	s	229	2	1	1	1
ночь	s	402.8	1	1	1	1
тысяча	s	416	1	1	1	1
правительство	s	277.7	1	1	1	1
женщина	s	533.3	1	1	2	1
газета	s	237.5	1	1	1	1
муж	s	263	2	1	1	1
государство	s	326.4	1	1	1	1
результат	s	403.1	2	1	1	1
информация	s	269.2	2	1	1	1
бог	s	425.4	2	1	1	1
событие	s	206.5	1	1	2	1
автор	s	262.1	1	1	1	1
рубль	s	296.4	1	1	1	1
помощь	s	300.1	2	1	1	1
жена	s	376.8	2	1	1	1
начальник	s	198.9	1	1	1	1
количество	s	206.7	2	1	1	1
мнение	s	228.4	1	1	1	1
проблема	s	474.9	2	1	2	2
принцип	s	197.9	3	1	3	2
школа	s	316	5	1	2	3
деньги	s	512.4	2	1	2	2
метод	s	197	2	2	2	2
игра	s	199	5	1	5	4
стол	s	402.5	6	1	2	3
образ	s	445.9	7	1	4	4
федерация	s	258.9	3	1	2	2
статья	s	395	5	1	2	3
производство	s	275.6	5	1	2	3
рост	s	198.4	6	1	4	4
счет	s	245.4	4	1	5	3
тип	s	197	6	1	1	3
очередь	s	212.5	5	1	5	4
тема	s	198.1	2	1	2	2
разговор	s	278.3	3	1	2	2
президент	s	311	2	1	2	2
душа	s	356.8	5	3	3	4
порядок	s	307.6	7	1	5	4
нога	s	459.2	3	1	1	2
действие	s	329.3	7	1	5	4
пора	s	358.2	5	2	1	3
возможность	s	407.5	2	1	2	2
комната	s	310.7	3	1	1	2
мысль	s	331.6	5	1	4	3
средство	s	363.9	5	1	2	3
утро	s	301.3	2	1	2	2
вопрос	s	805.8	3	1	3	2
член	s	207.4	5	1	3	3
любовь	s	323.9	3	1	3	2
квартира	s	290.9	3	1	1	2
брат	s	203	3	1	2	2
роль	s	297.9	3	2	3	3
проект	s	225.9	6	1	4	4
тело	s	285.9	5	1	3	3
товарищ	s	230.6	5	1	2	3
развитие	s	372.6	3	1	2	2
земля	s	494.4	7	1	5	4
народ	s	385.6	4	1	3	3
значение	s	205.1	2	1	3	2
отношение	s	557.4	5	1	4	3
группа	s	372.8	4	1	2	2
исследование	s	200.5	1	1	3	2
год	s	3727.5	5	1	1	2
общество	s	314.7	6	1	4	4
путь	s	357.3	7	1	4	4
сердце	s	245.1	6	1	2	3
ответ	s	263.3	5	1	3	3
встреча	s	224.9	2	1	5	3
компания	s	392.7	2	1	2	2
история	s	443.9	7	1	4	4
цель	s	315.5	3	2	2	2
шаг	s	203.8	6	1	5	4
цена	s	236.1	3	1	2	2
книга	s	413.9	4	1	3	3
система	s	617.8	7	1	4	4
число	s	393.5	5	1	4	3
голос	s	424.5	9	1	3	4
состояние	s	294.4	6	1	3	3
форма	s	347.8	10	1	3	5
голова	s	709.4	10	1	4	5
свет	s	359.7	10	2	4	5
план	s	235.3	7	2	5	5
сила	s	645.8	18	2	4	8
ход	s	226.5	13	1	3	6
ряд	s	238	10	1	3	5
дело	s	1412.1	11	2	4	6
сторона	s	768.3	11	1	5	6
время	s	2015.7	9	1	5	5
правило	s	258.8	8	3	3	5
положение	s	268.2	7	1	6	5
точка	s	232.2	8	1	5	5
язык	s	324.9	12	1	3	5
мир	s	714.7	11	1	4	5
работа	s	1058.3	8	1	5	5
место	s	926.6	10	1	5	5
партия	s	250.4	9	1	5	5
движение	s	244.7	9	1	4	5
вид	s	620.1	9	1	5	5
