Lemma	PoS	Freq(ipm)	rnc_num_senses	wiktionary_num_senses	ruwordnet_num_senses	Mean
результат	s	403.1	2	1	1	1
бог	s	425.4	2	1	1	1
мнение	s	228.4	1	1	1	1
данные	s	229.0	2	1	1	1
тысяча	s	416.0	1	1	1	1
газета	s	237.5	1	1	1	1
автор	s	262.1	1	1	1	1
событие	s	206.5	1	1	2	1
государство	s	326.4	1	1	1	1
правительство	s	277.7	1	1	1	1
помощь	s	300.1	2	1	1	1
жена	s	376.8	2	1	1	1
рубль	s	296.4	1	1	1	1
женщина	s	533.3	1	1	2	1
начальник	s	198.9	1	1	1	1
количество	s	206.7	2	1	1	1
ситуация	s	298.8	1	1	1	1
муж	s	263.0	2	1	1	1
структура	s	202.1	2	1	1	1
ночь	s	402.8	1	1	1	1
проект	s	225.9	6	1	4	4
качество	s	331.7	2	1	2	2
право	s	461.4	4	2	2	3
окно	s	280.8	4	1	3	3
объект	s	206.4	6	1	2	3
школа	s	316.0	5	1	2	3
компания	s	392.7	2	1	2	2
смысл	s	294.6	3	1	1	2
федерация	s	258.9	3	1	2	2
начало	s	361.4	5	2	2	3
брат	s	203.0	3	1	2	2
число	s	393.5	5	1	4	3
средство	s	363.9	5	1	2	3
квартира	s	290.9	3	1	1	2
исследование	s	200.5	1	1	3	2
условие	s	368.1	6	1	4	4
тема	s	198.1	2	1	2	2
создание	s	206.1	3	1	1	2
путь	s	357.3	7	1	4	4
лес	s	211.5	3	1	3	2
точка	s	232.2	8	1	5	5
ход	s	226.5	13	1	3	6
сторона	s	768.3	11	1	5	6
язык	s	324.9	12	1	3	5
дело	s	1412.1	11	2	4	6
голова	s	709.4	10	1	4	5
место	s	926.6	10	1	5	5
форма	s	347.8	10	1	3	5
правило	s	258.8	8	3	3	5
вид	s	620.1	9	1	5	5
движение	s	244.7	9	1	4	5
партия	s	250.4	9	1	5	5
свет	s	359.7	10	2	4	5
план	s	235.3	7	2	5	5
мир	s	714.7	11	1	4	5
положение	s	268.2	7	1	6	5
сила	s	645.8	18	2	4	8
ряд	s	238.0	10	1	3	5
работа	s	1058.3	8	1	5	5
время	s	2015.7	9	1	5	5
